"hours","RL_outlet    ","RL_confluence"
9.48333333333333,128.720825195312,5.92134523391724
9.5,129.180953979492,5.89884567260742
9.51666666666667,129.210372924805,5.88177490234375
9.53333333333333,128.69905090332,5.86491203308105
9.55,128.022094726562,5.84891700744629
9.56666666666667,127.341041564941,5.83270788192749
9.58333333333333,126.703620910645,5.81643104553223
9.6,126.116516113281,5.79570007324219
9.61666666666667,125.571998596191,5.77886819839478
9.63333333333333,125.060081481934,5.75927448272705
9.65,124.567855834961,5.74136209487915
9.66666666666667,124.095237731934,5.72479867935181
9.68333333333333,123.635719299316,5.70847702026367
9.7,123.186195373535,5.69261026382446
9.71666666666667,122.74471282959,5.67670249938965
9.73333333333333,122.310279846191,5.66124629974365
9.75,121.88207244873,5.64376544952393
9.76666666666667,121.458892822266,5.62565612792969
9.78333333333333,121.040084838867,5.60820245742798
9.8,120.625312805176,5.59147691726685
9.81666666666667,120.214691162109,5.57526779174805
9.83333333333333,119.806945800781,5.55878973007202
9.85,119.403251647949,5.54373121261597
9.86666666666667,119.00316619873,5.52797317504883
9.88333333333333,118.604187011719,5.51295566558838
9.9,118.208068847656,5.49589157104492
9.91666666666667,117.815147399902,5.4801812171936
9.93333333333333,117.424682617188,5.4625506401062
9.95,117.038619995117,5.4472713470459
9.96666666666667,116.642211914062,5.4321436882019
9.98333333333333,116.253532409668,5.41500997543335
10,115.870758056641,5.39972066879272
10.0166666666667,115.492004394531,5.38484477996826
10.0333333333333,115.124717712402,5.37003660202026
10.05,114.765777587891,5.35100841522217
10.0666666666667,114.404083251953,5.33514356613159
10.0833333333333,114.043586730957,5.31977415084839
10.1,113.688232421875,5.30253076553345
10.1166666666667,113.337188720703,5.28772830963135
10.1333333333333,112.986518859863,5.27334022521973
10.15,112.635528564453,5.2589635848999
10.1666666666667,112.284233093262,5.24415111541748
10.1833333333333,111.932754516602,5.23177289962769
10.2,111.581214904785,5.21763372421265
10.2166666666667,111.229843139648,5.203453540802
10.2333333333333,110.878860473633,5.1882495880127
10.25,110.526641845703,5.17323064804077
10.2666666666667,110.174247741699,5.15733003616333
10.2833333333333,109.823608398438,5.14382266998291
10.3,109.474670410156,5.1293740272522
10.3166666666667,109.127281188965,5.11640739440918
10.3333333333333,108.780578613281,5.10226631164551
10.35,108.435180664062,5.08808040618896
10.3666666666667,108.091453552246,5.07337474822998
10.3833333333333,107.749298095703,5.05698299407959
10.4,107.408195495605,5.04039716720581
10.4166666666667,107.068099975586,5.02528429031372
10.4333333333333,106.729446411133,5.01116895675659
10.45,106.394691467285,4.99748229980469
10.4666666666667,106.069038391113,4.98234128952026
10.4833333333333,105.748870849609,4.96588563919067
10.5,105.429992675781,4.95155477523804
10.5166666666667,105.110855102539,4.93783521652222
10.5333333333333,104.791374206543,4.92437982559204
10.55,104.471969604492,4.91107845306396
10.5666666666667,104.153060913086,4.89728879928589
10.5833333333333,103.834991455078,4.8834400177002
10.6,103.517906188965,4.87072277069092
10.6166666666667,103.204498291016,4.85435914993286
10.6333333333333,102.897537231445,4.84047317504883
10.65,102.592269897461,4.82633638381958
10.6666666666667,102.287216186523,4.81253385543823
10.6833333333333,101.982131958008,4.79856729507446
10.7,101.676704406738,4.78528070449829
10.7166666666667,101.371398925781,4.77229022979736
10.7333333333333,101.066307067871,4.75944566726685
10.75,100.760597229004,4.74679183959961
10.7666666666667,100.457008361816,4.73343753814697
10.7833333333333,100.15616607666,4.71924304962158
10.8,99.858039855957,4.70618057250977
10.8166666666667,99.5624847412109,4.69341945648193
10.8333333333333,99.2693557739258,4.6808385848999
10.85,98.9782638549805,4.66850805282593
10.8666666666667,98.6889190673828,4.65632104873657
10.8833333333333,98.4011917114258,4.64410495758057
10.9,98.1148910522461,4.63190698623657
10.9166666666667,97.8299255371094,4.61924886703491
10.9333333333333,97.5465698242188,4.60722827911377
10.95,97.2638702392578,4.5952091217041
10.9666666666667,96.9837188720703,4.58305501937866
10.9833333333333,96.7054061889648,4.57107067108154
11,96.4288330078125,4.55914545059204
11.0166666666667,96.1539306640625,4.5472207069397
11.0333333333333,95.8806457519531,4.5351996421814
11.05,95.6089477539062,4.52325820922852
11.0666666666667,95.3387908935547,4.51147508621216
11.0833333333333,95.0701446533203,4.49955558776855
11.1,94.8029556274414,4.48766994476318
11.1166666666667,94.5371780395508,4.47594022750854
11.1333333333333,94.2727890014648,4.46427869796753
11.15,94.0099487304688,4.45270395278931
11.1666666666667,93.7487106323242,4.44118595123291
11.1833333333333,93.4889221191406,4.42911767959595
11.2,93.230339050293,4.41358137130737
11.2166666666667,92.9725494384766,4.40118026733398
11.2333333333333,92.7150650024414,4.38903856277466
11.25,92.458137512207,4.37726068496704
11.2666666666667,92.2020263671875,4.36581468582153
11.2833333333333,91.9458770751953,4.35394191741943
11.3,91.6903991699219,4.34271049499512
11.3166666666667,91.4354782104492,4.33186817169189
11.3333333333333,91.1811981201172,4.32084035873413
11.35,90.9268951416016,4.30986738204956
11.3666666666667,90.6737747192383,4.29934215545654
11.3833333333333,90.4213104248047,4.28879547119141
11.4,90.1641845703125,4.27807950973511
11.4166666666667,89.9037551879883,4.26403045654297
